id,label,name,description
790,Figure,Powder_sieve_operation_1_Figure_120.png,"A closer perspective from the left side reveals the interior of the Renishaw AM400 machine, with one operator in black holding a hammerhead."
791,Figure,Powder_sieve_operation_1_Figure_122.png,"An image shows two operators examining the interior of the Renishaw AM400 machine through the left-hand user access door, as one operator in black holds a hammer handle, its head angled toward the machine."
792,Figure,Powder_sieve_operation_1_Figure_157.png,"Depicted is a scenario where one operator holds a hammer while the other stands near the left-hand user access door, indicating the location of the large safe change filter system."
793,Figure,Powder_sieve_operation_1_Figure_170.png,"Two operators observe as another individual stands near the left-hand user access door, pointing at the large safe change filter system."
794,Figure,Powder_sieve_operation_1_Figure_184.png,"One operator watches another stand by the left-hand user access door, gesturing toward the large safe change filter system."
795,Figure,Powder_sieve_operation_1_Figure_188.png,"Two operators are positioned near the Renishaw AM400 machine's left-hand user access door, with one of them holding a hammer."
796,Figure,Powder_sieve_operation_1_Figure_190.png,"Two operators stand close to the left-hand user access door, taking note of the large safe change filter system."
797,Figure,Powder_sieve_operation_1_Figure_194.png,"Two mask-wearing operators remain near the large safe change filter system of the Renishaw AM400 machine, and one operator holds a hammer."
798,Figure,Powder_sieve_operation_1_Figure_195.png,"Positioned near the large safe change filter system of the Renishaw AM400 machine, one mask-wearing operator stands in place while another remains nearby, arms folded."
799,Figure,Powder_sieve_operation_1_Figure_198.png,"Standing close to the large safe change filter system of the Renishaw AM400 machine, two mask-wearing operators are present, with one gripping the left-hand user access door and the other stationed beside him, arms crossed."
800,Figure,Powder_sieve_operation_1_Figure_202.png,"Located near the large SafeChange filter system of the Renishaw AM400 machine, two mask-wearing operators remain on-site, one steadying the left-hand user access door while the other, arms folded, carefully studies the system."
801,Figure,Powder_sieve_operation_1_Figure_204.png,"Positioned near the large safe change filter system of the Renishaw AM400 machine, two mask-wearing operators are seen, one holding the left-hand user access door and a hammerhead, while the other stands close by, arms folded."
802,Figure,Powder_sieve_operation_1_Figure_242.png,"Situated near the large safe change filter system of the Renishaw AM400 machine, two mask-wearing operators appear, with one gripping the left-hand user access door as the other bends down, attempting to grasp the vacuum cleaner's hose."
803,Figure,Powder_sieve_operation_1_Figure_243.png,"Standing before the large safe change filter system of the Renishaw AM400 machine, two mask-wearing operators carry on their tasks, one securing the left-hand user access door and holding a hammer, while the other stoops down, endeavoring to pick up the vacuum cleaner's hose."
804,Figure,Powder_sieve_operation_1_Figure_248.png,"Positioned beside the Renishaw AM400 machine's left-hand user access door, two operators perform their duties: one moves a cart equipped with a vacuum cleaner system while the other keeps the power cable in hand."
805,Figure,Powder_sieve_operation_1_Figure_264.png,"Wearing black attire, the individual uses a hammer handle to indicate the position of the powder bottle on the desk, as a student observes attentively."
806,Figure,Powder_sieve_operation_1_Figure_265.png,"Observing from a short distance, two operators examine the two powder bottles and the supplier powder bottle placed on the desk."
807,Figure,Powder_sieve_operation_1_Figure_267.png,"Focused on the workspace, the operators take note of the powder bottle, supplier powder bottle, quick-release clamp, and centring ring arranged on the desk."
808,Figure,Powder_sieve_operation_1_Figure_268.png,"Clad in black, holding the powder bottle, one individual remains at the forefront while two other operators watch on with folded arms."
809,Figure,Powder_sieve_operation_1_Figure_269.png,"Standing beside the powder sieve station and near the desk holding the standby powder bottle, the individual grasps another powder bottle."
810,Figure,Powder_sieve_operation_1_Figure_271.png,"Presented is a closer view of the upper valve (S1) and clamp (SL2) of the powder sieve station, as an operator lingers nearby with a small powder bottle in hand."
811,Figure,Powder_sieve_operation_1_Figure_272.png,"Shown in close-up are the upper valve (S1) and clamp (SL2) of the powder sieve station, with an operator standing nearby, holding a small powder bottle."
812,Figure,Powder_sieve_operation_1_Figure_274.png,"Captured in detail are the upper valve (S1) and clamp (SL2) of the powder sieve station, while an operator stands close, holding a small powder bottle."
813,Figure,Powder_sieve_operation_1_Figure_275.png,"Examined more closely, the upper valve (S1) and clamp (SL2) of the powder sieve station come into view, accompanied by an operator nearby, holding a small powder bottle."
814,Figure,Powder_sieve_operation_1_Figure_297.png,Seen in closer detail are the lid and argon gas inlet of the powder sieve station within the Renishaw AM400 machine.
815,Figure,Powder_sieve_operation_1_Figure_298.png,"Holding the lid of the powder sieving station, the individual stands by a desk where two small powder bottles rest."
816,Figure,Powder_sieve_operation_1_Figure_299.png,"By adjusting the clamp handle's position, the individual ensures that the powder sieve station's lid is securely in place."
817,Figure,Powder_sieve_operation_1_Figure_300.png,"Confirming proper placement, the individual verifies that the lid of the powder sieve station is correctly clamped."
818,Figure,Powder_sieve_operation_1_Figure_301.png,"With one hand pressing down on the powder sieve station's lid and the other hand tightening the clamp, the operator ensures a correct and firm seal."
819,Figure,Powder_sieve_operation_1_Figure_302.png,"Using one hand to hold the lid of the powder sieve station while the other hand tightens and secures the clamp, the individual guarantees a proper and secure seal."
820,Figure,Powder_sieve_operation_1_Figure_303.png,"By pressing down the rear clamp of the Renishaw AM400 machine's powder sieving system, the operator ensures that the lid remains properly and securely sealed."
821,Figure,Powder_sieve_operation_1_Figure_304.png,"Pressing down on the powder sieve station's lid with one hand and tightening the back clamp with the other, the individual ensures that the seal is proper and secure."
822,Figure,Powder_sieve_operation_1_Figure_305.png,"With one hand pressing the lid of the powder sieve station and the other hand securing the back clamp, the operator achieves a firm and correct seal."
823,Figure,Powder_sieve_operation_1_Figure_306.png,"Holding the lid of the powder sieve station firmly with both hands, the individual ensures it remains tightly and correctly sealed."
824,Figure,Powder_sieve_operation_1_Figure_308.png,"Adjusting the back clamp's handle, the operator ensures that the powder sieve station's lid is securely clamped."
825,Figure,Powder_sieve_operation_1_Figure_309.png,Disassembling the clamp (SL3) allows the individual to inspect the interior of the powder sieving station lid.
826,Figure,Powder_sieve_operation_1_Figure_310.png,"Removing the clamp (SL3), the operator examines the interior of the powder sieving station lid."
827,Figure,Powder_sieve_operation_1_Figure_311.png,Taking off the clamp (SL3) grants the individual access to examine the interior of the powder sieving station lid.
828,Figure,Powder_sieve_operation_1_Figure_312.png,"To inspect the interior of the powder sieving station's lid, the individual methodically takes apart the SL3 clamp."
829,Figure,Powder_sieve_operation_1_Figure_315.png,"Standing near the lid of the powder sieving station, the person firmly holds the pipe insert."
830,Figure,Powder_sieve_operation_1_Figure_318.png,"By removing the SL3 clamp, o-ring, and flange, the individual separates the pipe insert from the powder sieving station's lid."
831,Figure,Powder_sieve_operation_1_Figure_319.png,"Taking off the SL3 clamp, o-ring, and flange allows the person to disassemble the pipe insert from the lid of the powder sieving station."
832,Figure,Powder_sieve_operation_2_Figure_001.png,"While the lid is lifted away, a closer inspection of the powder sieving station's interior reveals scrap powder residue on the mesh."
833,Figure,Powder_sieve_operation_2_Figure_002.png,"As the lid is removed, a detailed interior view exposes scrap powder residue on the mesh, with the technician pointing toward the station's main body."
834,Figure,Powder_sieve_operation_2_Figure_003.png,"With the lid taken off, a more detailed look inside the powder sieving station shows leftover scrap powder residue on the mesh."
835,Figure,Powder_sieve_operation_2_Figure_004.png,"Attempting to close the lid and attach the pipe insert, the individual proceeds despite the lid not being clamped to the station's main body."
836,Figure,Powder_sieve_operation_2_Figure_006.png,"Positioned atop the powder sieving station's main body, the lid awaits pipe insertion while the individual makes an effort to fit it in place."
837,Figure,Powder_sieve_operation_2_Figure_007.png,"Before inserting the pipe, the person aligns the lid onto the main body of the powder sieving station."
838,Figure,Powder_sieve_operation_2_Figure_009.png,"In preparation for inserting the pipe, the individual sets the lid onto the main body of the powder sieving station."
839,Figure,Powder_sieve_operation_2_Figure_010.png,"As one crew member places the lid on the station's main body, another attempts to guide the pipe into position."
840,Figure,Powder_sieve_operation_2_Figure_013.png,"From a closer viewpoint, one team member is seen fitting the lid onto the station's main body, while another tries to insert the pipe."
841,Figure,Powder_sieve_operation_2_Figure_015.png,"Two individuals work together, holding the lid and positioning it correctly onto the station's main body to prepare for pipe insertion."
842,Figure,Powder_sieve_operation_2_Figure_019.png,"With two individuals adjusting the lid precisely onto the station's main body, others try to insert the pipe into the lid."
843,Figure,Powder_sieve_operation_2_Figure_020.png,"While two team members hold the lid's edge, separating it from the station's main body, others attempt to pull the pipe free."
844,Figure,Powder_sieve_operation_2_Figure_023.png,"One person grips the pipe, another steadies the station's main body, and two students look on."
845,Figure,Powder_sieve_operation_2_Figure_024.png,"One individual secures the pipe, another provides support to the station's main body, as two students observe attentively."
846,Figure,Powder_sieve_operation_2_Figure_026.png,"By maintaining a hold on the station's main body, the group offers a clearer interior view, including a good look at the outer seal."
847,Figure,Powder_sieve_operation_2_Figure_030.png,"While multiple operators maintain a steady grip on the powder sieving station's main body, a clearer interior view including the outer seal emerges, as another individual holds the lid nearby."
848,Figure,Powder_sieve_operation_2_Figure_031.png,"Two operators coordinate their efforts to set the lid onto the station's main body, as a third participant assists by handling the pipe."
849,Figure,Powder_sieve_operation_2_Figure_032.png,"Working in tandem, two operators align the lid with the main body, supported by a third who keeps the pipe steady."
850,Figure,Powder_sieve_operation_2_Figure_033.png,One individual stabilizes the powder sieving station's main body while another carefully positions the lid on it.
851,Figure,Powder_sieve_operation_2_Figure_042.png,"Once the lid is correctly placed onto the powder sieving station, an individual proceeds to attach the pipe."
852,Figure,Powder_sieve_operation_2_Figure_046.png,"Having inserted the pipe correctly into the lid, an individual begins securing the connection with the SL3 clamp."
853,Figure,Powder_sieve_operation_2_Figure_049.png,"An individual focuses on assembling the clamp, while others hold the lid firmly in place."
854,Figure,Powder_sieve_operation_2_Figure_051.png,"Multiple operators collaborate to put the clamp together, ensuring a secure fit between the pipe and the lid."
855,Figure,Powder_sieve_operation_2_Figure_054.png,"With careful attention to detail, the team assembles the clamp, achieving a tight and secure link between pipe and lid."
856,Figure,Powder_sieve_operation_2_Figure_055.png,"Exhibiting meticulous effort, the team assembles the clamp to guarantee a tight and secure connection between the pipe and the lid."
857,Figure,Powder_sieve_operation_2_Figure_056.png,"Applying diligence, the team assembles the clamp, confirming that the pipe and lid connection is firm and secure as a student looks on."
858,Figure,Powder_sieve_operation_2_Figure_057.png,"Acting diligently, they assemble the clamp so that the pipe-lid connection remains tight and secure, even as the clamp connecting the lid to the main body remains open."
859,Figure,Powder_sieve_operation_2_Figure_058.png,"An individual fits the SL3 clamp into place, ensuring a firm and secure junction between the pipe and the lid, as the clamp to the main body stays open and others watch."
860,Figure,Powder_sieve_operation_2_Figure_061.png,"It appears the team is putting the clamp together or adjusting it, securing the pipe to the lid of the powder sieving station, with one person holding the pipe while others assist to ensure proper alignment."
861,Figure,Powder_sieve_operation_2_Figure_062.png,"Efforts are underway to connect the pipe to the lid of the powder sieving assembly, with one individual holding the clamp and another adjusting its lock for a secure fit."
862,Figure,Powder_sieve_operation_2_Figure_065.png,Operators are examining the powder sieving system as a hand firmly grasps the lid.
863,Figure,Powder_sieve_operation_2_Figure_077.png,"Observing the powder sieving system, the group includes one operator in black who firmly holds the lid with both hands."
864,Figure,Powder_sieve_operation_2_Figure_079.png,The individual in black rests a left hand on the sieving system's lid and uses the right hand to hold the clamp handle that links the lid and main body.
865,Figure,Powder_sieve_operation_2_Figure_080.png,"Placing the left hand on the lid and pulling the clamp handle downward with the right, the individual in black secures the clamp firmly, connecting the lid to the main body."
866,Figure,Powder_sieve_operation_2_Figure_084.png,"With both hands on the lid of the powder sieving system, the individual attempts to lift it open."
867,Figure,Powder_sieve_operation_2_Figure_089.png,"Standing beside the powder sieving system, a group of operators remains in place, with one individual in black gripping a powder bottle in the left hand."
868,Figure,Powder_sieve_operation_2_Figure_090.png,"Holding the powder bottle firmly, an individual attempts to connect it to the sieving station's top section."
869,Figure,Powder_sieve_operation_2_Figure_091.png,"With the right hand supporting the bottom of the powder bottle and the left hand steadying the neck, the individual aims to attach it to the top of the sieving station."
870,Figure,Powder_sieve_operation_2_Figure_092.png,"Supporting the bottom of the powder bottle with one hand and stabilizing the connection point at the neck with the other, the individual tries to link it to the sieving station's upper portion."
871,Figure,Powder_sieve_operation_2_Figure_093.png,"Using the right hand to hold the bottom of the powder bottle, the individual attempts to adjust the valve handle with the left."
872,Figure,Powder_sieve_operation_2_Figure_095.png,"Holding the powder bottle's neck, the individual keeps both upper valves (S1 and A1) closed."
873,Figure,Powder_sieve_operation_2_Figure_096.png,"With both upper valves (S1 and A1) shut and the bottle's neck in hand, the individual is assisted by another who steadies the bottle's neck resting on the desk."
874,Figure,Powder_sieve_operation_2_Figure_099.png,"Operators remain focused on the powder sieving system, as one masked individual stands nearby and another holds a hammer."
875,Figure,Powder_sieve_operation_2_Figure_101.png,"Maintaining their attention on the powder sieving system, the entire team of operators wears masks."
876,Figure,Powder_sieve_operation_2_Figure_102.png,"Attempting to take apart the clamp located beneath the S1 valve, one individual works carefully while another watches closely."
877,Figure,Powder_sieve_operation_2_Figure_103.png,"By removing the clamp that secures the bottleneck to the pipe's inlet, one individual disassembles it as another observes the process."
878,Figure,Powder_sieve_operation_2_Figure_112.png,"A masked individual grasps the handle lock of valve A1, striving to unlock and open it."
879,Figure,Powder_sieve_operation_2_Figure_113.png,"Holding onto the handle lock of valve A1, the masked individual makes an effort to release it and open the valve."
880,Figure,Powder_sieve_operation_2_Figure_115.png,"Wearing masks and inspecting the top section of the powder sieving system, the team notes that both valves (S1 and A1) remain closed."
881,Figure,Powder_sieve_operation_2_Figure_116.png,"While examining the top section of the powder sieving system, the masked operators observe that valve S1 is closed and the clamp positioned between the two valves is locked."
882,Figure,Powder_sieve_operation_2_Figure_117.png,"Inspecting the structure at the top of the powder sieving system, the masked group notes that valve A1 is currently closed."
883,Figure,Powder_sieve_operation_2_Figure_118.png,"Adjusting the position of the valve A1 handle, a masked individual attempts to open it."
884,Figure,Powder_sieve_operation_2_Figure_122.png,"Standing near the powder sieving system, a group of masked operators is present, including one who holds a powder bottle."
885,Figure,Powder_sieve_operation_2_Figure_124.png,"Positioned close to the powder sieving system, masked operators gather, with one individual holding a quick-release clamp."
886,Figure,Powder_sieve_operation_2_Figure_125.png,"Masked operators remain near the powder sieving system; one holds a quick-release clamp, and another also grasps a quick-release clamp while others look on."
887,Figure,Powder_sieve_operation_2_Figure_126.png,"Bending down to inspect the lower portion of the powder sieving system, one individual is observed by the others."
888,Figure,Powder_sieve_operation_2_Figure_127.png,"Connecting the small powder bottle to the bottom segment of the powder sieving station, one individual completes the task."
889,Figure,Powder_sieve_operation_2_Figure_128.png,"Wearing a watch and holding the neck of the small powder bottle, one individual attaches it to the powder sieving station's lower section."
890,Figure,Powder_sieve_operation_2_Figure_131.png,"Viewed from another angle, a watch-wearing individual secures the small powder bottle's neck to the bottom of the powder sieving station, as another person observes."
891,Figure,Powder_sieve_operation_2_Figure_132.png,"With a watch visible on the wrist, one individual grasps the small powder bottle's neck, fastening it to the lower portion of the powder sieving station."
892,Figure,Powder_sieve_operation_2_Figure_135.png,"Holding the small powder bottle's neck, a watch-wearing individual connects it to the station's lower section while another person watches."
893,Figure,Powder_sieve_operation_2_Figure_137.png,"A close-up reveals the powder sieving station's bottom area, highlighting the small powder bottle, two shut-off valves (S1 and S2), and a sturdy pipe."
894,Figure,Powder_sieve_operation_2_Figure_147.png,"Adjusting the shut-off valve's handle, one individual attempts to open the valve."
895,Figure,Powder_sieve_operation_2_Figure_153.png,"Attempting to open the valve, one individual modifies the shut-off handle's position."
896,Figure,Powder_sieve_operation_2_Figure_155.png,"Steadying the powder sieving system's support frame with the left hand, one individual uses the right hand to open the valve by repositioning its shut-off handle."
897,Figure,Powder_sieve_operation_2_Figure_159.png,"While one individual holds the bottom powder bottle, another tries to open the S2 shut-off valve by manipulating its handle."
898,Figure,Powder_sieve_operation_2_Figure_162.png,"With one individual holding the bottom powder bottle, another steadies the container with the left hand and uses the right hand to rotate the valve handle perpendicularly, thereby opening the shut-off valve."
899,Figure,Powder_sieve_operation_2_Figure_163.png,"Two individuals focus on removing the quick-release clamp (SL6), keeping both shut-off valves closed."
900,Figure,Powder_sieve_operation_2_Figure_164.png,"Attempting to remove the quick-release clamp (SL6), two individuals proceed while the shut-off valves remain closed."
901,Figure,Powder_sieve_operation_2_Figure_166.png,One individual grips the bottom powder bottle's neck as another supports the quick-release clamp with a hand.
902,Figure,Powder_sieve_operation_2_Figure_169.png,"While one individual holds the handle of the S1 valve, another joins in holding the bottom powder bottle's neck."
903,Figure,Powder_sieve_operation_2_Figure_171.png,"One individual grasps the handle of the S1 valve, aided by another person who also steadies the bottom powder bottle's neck."
904,Figure,Powder_sieve_operation_2_Figure_176.png,"Observing the underside of the powder sieving system, one individual readies the right hand to pick up a centering ring, as a detached bottom powder bottle rests on the floor."
905,Figure,Powder_sieve_operation_2_Figure_177.png,"Holding the bottom powder bottle's neck, one individual stands by while a masked counterpart watches the bottle."
906,Figure,Powder_sieve_operation_2_Figure_178.png,"With the left hand gripping the bottom powder bottle's neck, one individual positions the other hand near the S1 shut-off valve above the bottle, as another person is involved in the process."
907,Figure,Powder_sieve_operation_2_Figure_181.png,"Utilizing a clamp, two individuals strive to link the S1 shut-off valve with the S2 valve and the station's lower portion."
908,Figure,Powder_sieve_operation_2_Figure_182.png,"Positioning the bottom powder bottle on the powder sieving station's base, one individual proceeds while ensuring that all shut-off valves stay closed."
909,Figure,Powder_sieve_operation_2_Figure_183.png,"Examining the connection of the bottom powder bottle to the powder sieving station, a masked individual checks if the S1 shut-off valve closes properly."
910,Figure,Powder_sieve_operation_2_Figure_184.png,"Placing the clamp (SL6) between the two shut-off valves, one individual works while another supports by holding the bottom powder bottle's neck."
911,Figure,Powder_sieve_operation_2_Figure_185.png,"Adjusting the shut-off valve handle with the left hand and steadying the bottom powder bottle's neck with the right, one individual refines the setup."
912,Figure,Powder_sieve_operation_2_Figure_187.png,"Securing the clamp (SL6) between the two shut-off valves, one individual receives assistance from another who holds the bottle's neck steady."
913,Figure,Powder_sieve_operation_2_Figure_192.png,"By turning the handle to a perpendicular angle, an individual opens the S1 shut-off valve at the station's bottom."
914,Figure,Powder_sieve_operation_2_Figure_193.png,"Rotating the handle to a perpendicular position, one individual opens the S2 shut-off valve at the station's base."
915,Figure,Powder_sieve_operation_2_Figure_197.png,"Pointing toward the pipe that channels powder into the main body, an individual highlights its function."
916,Figure,Powder_sieve_operation_2_Figure_240.png,"Standing around the powder sieving station, multiple individuals are present, with one holding the station's support frame."
917,Figure,Powder_sieve_operation_2_Figure_244.png,"Wearing a black shirt and mask, an individual activates the powder sieving station's power, initiating the sieving mode."
918,Figure,Powder_sieve_operation_2_Figure_245.png,"Gathered around the powder sieving station, the team observes as the lid and main body remain tightly secured by the clamp."
919,Figure,Powder_sieve_operation_2_Figure_248.png,"Attempting to open the S1 valve by positioning its handle perpendicularly, one individual acts while a masked observer watches."
920,Figure,Powder_sieve_operation_2_Figure_249.png,"Using the left hand to steady the S1 valve and the right hand to hold the S2 valve, one individual keeps both closed, as another looks on."
921,Figure,Powder_sieve_operation_2_Figure_250.png,"Gripping the S1 valve with one hand and the S2 valve with the other, an individual ensures both valves remain closed."
922,Figure,Powder_sieve_operation_2_Figure_255.png,"Stabilizing the S1 valve with the left hand and holding the S2 valve with the right, an individual keeps both securely shut."
923,Figure,Powder_sieve_operation_2_Figure_259.png,"Attempting to open the S2 valve, one individual moves its handle to a perpendicular position."
924,Figure,Powder_sieve_operation_2_Figure_280.png,"Positioned beside the powder sieving station, an individual holds the lid with the right hand."
925,Figure,Powder_sieve_operation_2_Figure_282.png,"Standing next to the powder sieving station, one individual holds the lid as another stabilizes the support frame."
926,Figure,Powder_sieve_operation_2_Figure_290.png,"Indicating the inert gas inlet on the lid with the right hand, an individual draws attention to a key component of the system."
927,Figure,Powder_sieve_operation_2_Figure_291.png,"Standing together, two individuals point toward the argon gas inlet located on the powder sieving station's lid."
928,Figure,Powder_sieve_operation_2_Figure_297.png,"Wearing a black outfit and a mask, one individual holds the pressure release valve positioned on the lid of the powder sieving station."
929,Figure,Powder_sieve_operation_2_Figure_298.png,"Attired in black and masked, one individual steadies the pressure release valve found on the lid of the powder sieving station."
930,Figure,Powder_sieve_operation_3_Figure_001.png,"One individual interacts with the pressure valve of the powder sieving station, while another student, positioned in front of the station, observes."
931,Figure,Powder_sieve_operation_3_Figure_002.png,"While the pipeline and lid are securely attached using a clamp, an operator presses the pressure valve on the lid with their right thumb."
932,Figure,Powder_sieve_operation_3_Figure_012.png,"A masked individual dressed in a black t-shirt is positioned close to the powder sieving station, gripping the lid using their right hand."
933,Figure,Powder_sieve_operation_3_Figure_013.png,"An operator is positioned beside the powder sieving station, resting their right hand near the pressure valve on the lid. The valve at the bottom of the sieving station is visibly in an open position."
934,Figure,Powder_sieve_operation_3_Figure_044.png,A technician is switching valve S1 located at the top of the powder sieving station from an open position to a closed one.
935,Figure,Powder_sieve_operation_3_Figure_046.png,"At the upper section of the powder sieving station, a technician is closing valve A1, transitioning it from an open to a closed state."
936,Figure,Powder_sieve_operation_3_Figure_049.png,"While another operator stands observing with arms folded, a technician clad in a black short-sleeved shirt attempts to access the upper valve of the powder sieving station and the clamp that connects it to the powder supply bottle."
937,Figure,Powder_sieve_operation_3_Figure_050.png,"At the powder sieving station, a technician clad in a black short-sleeved shirt is working to fully open valve S1, which is currently partially open. Meanwhile, another operator observes the action with arms crossed over his chest."
938,Figure,Powder_sieve_operation_3_Figure_054.png,"With his right hand, an operator is engaging the clamp that connects the powder supply bottle to the upper valve S1. Simultaneously, the argon gas inlet and pressure valve are visible on the lid of the powder sieving station."
939,Figure,Powder_sieve_operation_3_Figure_063.png,"Positioned on the right side of the powder sieving station, one operator carefully watches a colleague as they adjust the handle of the top valve, A1. Meanwhile, valve S1 at the station's upper section remains visibly half-open."
940,Figure,Powder_sieve_operation_3_Figure_064.png,"Standing on the right side of the powder sieving station, one operator closely observes a teammate as they adjust the handle of the top valve S1. Meanwhile, the other upper valve, A1, remains in a closed position."
941,Figure,Powder_sieve_operation_3_Figure_068.png,"An operator is directing his finger toward the clamp that connects the bottom pipeline of the powder sieving station to the small powder bottle. Meanwhile, the handle of the lower valve S1 stands vertically against the ground, indicating that the valve is currently open."
942,Figure,Powder_sieve_operation_3_Figure_069.png,"A full view of the base of the powder sieving station reveals the pipeline carrying the sieved powder, the connecting pipes secured with a clamp to the small powder bottle, and the S1 valve mounted on the bottle, which is currently in the open position."
943,Figure,Powder_sieve_operation_3_Figure_070.png,"A comprehensive view of the bottom of the powder sieving station highlights the pipelines that transport the sieved powder, the connecting tubes secured with clamps to the small powder bottle, and the S1 valve positioned on top of the bottle, which is visibly open."
944,Figure,Powder_sieve_operation_3_Figure_072.png,"The powder sieving station's lid is visible, alongside the powder supply bottle and the pipelines below it. An operator is placing his hand on the handle of the top valve S1, which remains partially open."
945,Figure,Powder_sieve_operation_3_Figure_083.png,"A researcher is using his left hand to adjust the handle of the top valve S1 and his right hand to steady the clamp between the powder supply bottle and valve S1. Behind him, another operator watches the adjustments."
946,Figure,Powder_sieve_operation_3_Figure_084.png,"Next to the powder sieving station, two operators are positioned. The powder supply bottle is now connected to the station, with the upper valve A1 remaining open while valve S1 is shut."
947,Figure,Powder_sieve_operation_3_Figure_085.png,"The powder supply bottle, along with top valves A1 and S1 and the powder supply pipeline, have been connected using their respective clamps. Additionally, valve A1 at the top remains open, while S1 is in a closed state."
948,Figure,Powder_sieve_operation_3_Figure_089.png,"Wearing a mask, a researcher is using his right hand to adjust the position of valve S1 located at the top of the powder sieving station. Currently, valve S1 remains closed while valve A1 is open."
949,Figure,Powder_sieve_operation_3_Figure_090.png,"At the top of the powder sieving station, a researcher is currently adjusting the status of the S1 valve, and it is observable that both the S1 and A1 valves are in an open state."
950,Figure,Powder_sieve_operation_3_Figure_094.png,"Toward the powder delivery pipeline situated at the base of the powder sieving station, a researcher is gesturing, and the open state of the bottom valve S1 is visible."
951,Figure,Powder_sieve_operation_3_Figure_095.png,"At the bottom of the powder sieving station, a researcher is manually positioning the handle of the S2 valve to a horizontal alignment, thereby shutting off S2, while the open state of valve S1 is concurrently visible."
952,Figure,Powder_sieve_operation_3_Figure_096.png,"To verify its proper installation, a researcher strikes with a hammer the clamp positioned between the bottom valves S1 and S2 of the powder sieving station."
953,Figure,Powder_sieve_operation_3_Figure_097.png,"At the base of the powder sieving station, a researcher is striking the small powder bottle with a hammer, and at this moment, valve S1 is open while valve S2 remains closed."
954,Figure,Powder_sieve_operation_3_Figure_098.png,"Wielding a hammer in his left hand, the researcher points with his right toward the lower system of the powder sieving station. The valves S1 and S2, along with the small powder bottle, are securely fastened using clamps."
955,Figure,Powder_sieve_operation_3_Figure_108.png,"While a researcher on the left steadies the lid of the powder sieving station with his hands, colleagues positioned to the right and in the center are attentively observing the operation."
956,Figure,Powder_sieve_operation_3_Figure_114.png,A researcher is firmly holding the lid of the powder sieving station with both hands while closely inspecting the connection between the powder supply pipeline and the lid to ensure it is properly secured.
957,Figure,Powder_sieve_operation_4_Figure_005.png,A technician is using his left hand to indicate the argon gas inlet of the powder sieving station while his right hand mimics the connection between the gas pipeline and the inlet.
958,Figure,Powder_sieve_operation_4_Figure_014.png,"At the base of the powder sieving station, an operator is adjusting the handle of valve S2 with his right hand. Currently, both valve handles S1 and S2 are positioned horizontally, indicating that they are shut."
959,Figure,Powder_sieve_operation_4_Figure_015.png,"At the lower section of the powder sieving station, a technician is using his right hand to grip the handle of valve S2, aiming to modify its position. Meanwhile, it is clearly visible that valves S1 and S2, along with the small powder bottle, are securely connected."
960,Figure,Powder_sieve_operation_4_Figure_025.png,"Gripping the handle of valve S1 at the base of the powder sieving station with his right hand, an operator is working to adjust its status. Additionally, the secure connections between valves S1 and S2, as well as the small powder bottle, are clearly visible."
961,Figure,Powder_sieve_operation_4_Figure_026.png,"At the base of the powder sieving station, an operator is using his right hand to grip and adjust the handle of valve S1 in an effort to open it. Additionally, it is clearly visible that valves S1 and S2, along with the small powder bottle, are properly connected."
962,Figure,Powder_sieve_operation_4_Figure_044.png,"Wielding the handle of valve A1 positioned atop the powder sieving station, an operator is attempting to open it. Currently, both upper valves, S1 and A1, remain in the closed state."
963,Figure,Powder_sieve_operation_4_Figure_045.png,"At the top of the powder sieving station, an operator is gripping the handle of valve A1, actively working to switch it to the open position. Meanwhile, both upper valves, S1 and A1, are currently observed to be in a closed state."
964,Figure,Powder_sieve_operation_4_Figure_053.png,"While one operator is manually adjusting the top valve A1 of the powder sieving station, another stands on the station's right side, resting his hands on the framework and observing the operation."
965,Figure,Powder_sieve_operation_4_Figure_057.png,"At the powder sieving station, an operator is attempting to grip the handle of the top valve A1 with his hand. It is clearly visible that the powder supply bottle, along with the upper valves S1 and A1 and the powder delivery pipeline, are all properly connected to the station."
966,Figure,Powder_sieve_operation_4_Figure_061.png,"A researcher is using both hands to adjust the handle of valve A1 positioned at the top of the powder sieving station. Additionally, it is noticeable that the gas inlet on the station's lid remains unconnected to the argon supply."
967,Figure,Powder_sieve_operation_4_Figure_062.png,"While a researcher attempts to disassemble the clamp connecting the powder supply bottle to the top valve A1 of the powder sieving station, an operator positioned on the station's right side is attentively observing the process."
968,Figure,Powder_sieve_operation_4_Figure_082.png,"An operator is directing the hammer handle toward the handle of valve A1 located at the top of the powder sieving station. Currently, the handles of both top valves, S1 and A1, are aligned horizontally, indicating that both valves are in the closed position."
969,Figure,Powder_sieve_operation_4_Figure_085.png,"A researcher is working to detach the clamp that links the bottom valve of the powder sieving station to the small powder bottle. Currently, valve S1 located at the base of the station remains open."
970,Figure,Powder_sieve_operation_4_Figure_116.png,"A researcher is attempting to open the clamp that connects the lid of the powder sieving station to its main body. At this moment, it is visible that both top valves, S1 and A1, on the powder sieving station are in the closed position."
971,Figure,Powder_sieve_operation_4_Figure_128.png,"Wearing protective gear, a researcher is attempting to detach the clamp that links the powder delivery pipeline to the lid of the powder sieving station."
